Year,Month,Day,Title,Link,List,Genres,Budget,Box office
2004,7,7.0,King Arthur,/wiki/King_Arthur_(2004_film),"['historical adventure', '$120 million', '$203.6 million']",historical adventure,$120 million,$203.6 million
2004,7,9.0,Anchorman: The Legend of Ron Burgundy,/wiki/Anchorman:_The_Legend_of_Ron_Burgundy,"[' satirical comedy', '$26 million[2]', '$90.6 million[2]']", satirical comedy,$26 million[2],$90.6 million[2]
2004,7,9.0,Sleepover,/wiki/Sleepover_(film),"[' teen comedy film directed by Joe Nussbaum, in his feature', '$10 million[2]', '$10 million']"," teen comedy film directed by Joe Nussbaum, in his feature",$10 million[2],$10 million
2004,7,14.0,The Door in the Floor,/wiki/The_Door_in_the_Floor,"[' drama', '$7.5 million[1]', '$6.7 million[1]']", drama,$7.5 million[1],$6.7 million[1]
2004,7,16.0,A Cinderella Story,/wiki/A_Cinderella_Story,"[' teen romantic comedy', '$19 million[1]', '$70.1 million[1]']", teen romantic comedy,$19 million[1],$70.1 million[1]
2004,7,16.0,"I, Robot","/wiki/I,_Robot_(film)","[' science fiction action', '$120\xa0million[3]', '$353.1\xa0million[3]']", science fiction action,$120 million[3],$353.1 million[3]
2004,7,23.0,The Bourne Supremacy,/wiki/The_Bourne_Supremacy_(film),"['action-thriller', '$75 million[2]', '$290.6 million[2]']",action-thriller,$75 million[2],$290.6 million[2]
2004,7,23.0,Catwoman,/wiki/Catwoman_(film),"[' superhero', '$100 million', '$82.1 million[2]']", superhero,$100 million,$82.1 million[2]
2004,7,23.0,A Home at the End of the World,/wiki/A_Home_at_the_End_of_the_World_(film),"[' drama', '$6.5 million', '$1.5 million']", drama,$6.5 million,$1.5 million
2004,7,30.0,Harold & Kumar Go to White Castle,/wiki/Harold_%26_Kumar_Go_to_White_Castle,"[' buddy stoner comedy', '$9 million[1]', '$23.9 million[1]']", buddy stoner comedy,$9 million[1],$23.9 million[1]
2004,7,30.0,She Hate Me,/wiki/She_Hate_Me,"[' independent comedy drama', '$9 million[1]', '$1.5 million[2]']", independent comedy drama,$9 million[1],$1.5 million[2]
2004,7,30.0,Thunderbirds,/wiki/Thunderbirds_(2004_film),"['-American science fiction action-adventure', '$57 million', '$28.3 million']",-American science fiction action-adventure,$57 million,$28.3 million
2004,7,30.0,The Village,/wiki/The_Village_(2004_film),"[' period thriller', '$60 million[4]', '$256.7 million[4]']", period thriller,$60 million[4],$256.7 million[4]
2004,8,6.0,Collateral,/wiki/Collateral_(film),"[' neo-noir action thriller', '$65 million', '$220.9 million[2]']", neo-noir action thriller,$65 million,$220.9 million[2]
2004,8,6.0,Little Black Book,/wiki/Little_Black_Book_(film),"[' satirical comedy-drama', '$35 million[1]', '$22 million[1]']", satirical comedy-drama,$35 million[1],$22 million[1]
2004,8,11.0,The Princess Diaries 2: Royal Engagement,/wiki/The_Princess_Diaries_2:_Royal_Engagement,"[' romantic comedy', '$45 million[2]', '$135.7 million[3][4]']", romantic comedy,$45 million[2],$135.7 million[3][4]
2004,8,13.0,Alien vs. Predator,/wiki/Alien_vs._Predator_(film),"['science fiction action horror', '$60–70 million[7][8]', '$177.4 million[7]']",science fiction action horror,$60–70 million[7][8],$177.4 million[7]
2004,8,13.0,Yu-Gi-Oh! The Movie: Pyramid of Light,/wiki/Yu-Gi-Oh!_The_Movie:_Pyramid_of_Light,"['animated adventure fantasy', '$20 million[2]', '$29.2 million[3]']",animated adventure fantasy,$20 million[2],$29.2 million[3]
2004,8,20.0,Exorcist: The Beginning,/wiki/Exorcist:_The_Beginning,"[' supernatural horror', '$50 million[2]', '$78.1 million[3]']", supernatural horror,$50 million[2],$78.1 million[3]
2004,8,20.0,Without a Paddle,/wiki/Without_a_Paddle,"[' adventure comedy', '$19 million[2]', '$73 million[2]']", adventure comedy,$19 million[2],$73 million[2]
2004,8,27.0,Anacondas: The Hunt for the Blood Orchid,/wiki/Anacondas:_The_Hunt_for_the_Blood_Orchid,"[' adventure horror', '$20–25 million[1][2]', '$71 million[2]']", adventure horror,$20–25 million[1][2],$71 million[2]
2004,8,27.0,Suspect Zero,/wiki/Suspect_Zero,"['psychological thriller', '$27 million', '$11.4 million']",psychological thriller,$27 million,$11.4 million
2004,9,1.0,5x2,/wiki/5x2,"['h', '$5.3 million', '$4.1 million[1]']",h,$5.3 million,$4.1 million[1]
2004,9,1.0,Vanity Fair,/wiki/Vanity_Fair_(2004_film),"['historical drama', '$23 million', '$19.4 million']",historical drama,$23 million,$19.4 million
2004,9,3.0,The Cookout,/wiki/The_Cookout,"[' comedy', '$16 million[1]', '$12,009,070[2]']", comedy,$16 million[1],"$12,009,070[2]"
2004,9,3.0,Paparazzi,/wiki/Paparazzi_(2004_film),"[' action thriller', '$20 million', '$16 million']", action thriller,$20 million,$16 million
2004,9,3.0,Wicker Park,/wiki/Wicker_Park_(film),"[' romantic thriller drama', '$30 million[2]', '$21.6 million[2]']", romantic thriller drama,$30 million[2],$21.6 million[2]
2004,9,10.0,Cellular,/wiki/Cellular_(film),"[' action thriller', '$25 million[1]', '$57.7 million[1]']", action thriller,$25 million[1],$57.7 million[1]
2004,9,10.0,Resident Evil: Apocalypse,/wiki/Resident_Evil:_Apocalypse,"['action horror', '$45 million[9]', '$129.3 million[9]']",action horror,$45 million[9],$129.3 million[9]
2004,9,17.0,Mr. 3000,/wiki/Mr._3000,"[' sports comedy', '$30 million', '$21,839,377']", sports comedy,$30 million,"$21,839,377"
2004,9,17.0,Sky Captain and the World of Tomorrow,/wiki/Sky_Captain_and_the_World_of_Tomorrow,"['science fiction action-adventure', '$70 million[1]', '$58 million[1]']",science fiction action-adventure,$70 million[1],$58 million[1]
2004,9,17.0,Wimbledon,/wiki/Wimbledon_(film),"['romantic comedy', '$31 million[3]', '$41.5 million[3]']",romantic comedy,$31 million[3],$41.5 million[3]
2004,9,24.0,First Daughter,/wiki/First_Daughter_(2004_film),"[' romantic comedy-drama', '$30 million', '$10.6 million']", romantic comedy-drama,$30 million,$10.6 million
2004,9,24.0,The Forgotten,/wiki/The_Forgotten_(2004_film),"[' sci-fi psychological thriller', '$42 million[1]', '$117.6 million[1]']", sci-fi psychological thriller,$42 million[1],$117.6 million[1]
2004,9,24.0,Shaun of the Dead,/wiki/Shaun_of_the_Dead,"['zombie comedy', '$6 million', '$38.7 million']",zombie comedy,$6 million,$38.7 million
2004,10,1.0,I Heart Huckabees,/wiki/I_Heart_Huckabees,"['independent black comedy', '$20 million[2]', '$20.1 million[2]']",independent black comedy,$20 million[2],$20.1 million[2]
2004,10,1.0,Ladder 49,/wiki/Ladder_49,"[' disaster thriller', '$60 million[1]', '$102.3 million[1]']", disaster thriller,$60 million[1],$102.3 million[1]
2004,10,1.0,Shark Tale,/wiki/Shark_Tale,"[' animated comedy', '$75 million[2]', '$374.6 million[2]']", animated comedy,$75 million[2],$374.6 million[2]
2004,10,4.0,Bride and Prejudice,/wiki/Bride_and_Prejudice,"['romantic comedy drama', '$7 million[2]', '$24.7 million[2]']",romantic comedy drama,$7 million[2],$24.7 million[2]
2004,10,6.0,Taxi,/wiki/Taxi_(2004_film),"['h', '$25 million[1]', '$71.3 million[1]']",h,$25 million[1],$71.3 million[1]
2004,10,8.0,Friday Night Lights,/wiki/Friday_Night_Lights_(film),"[' sports drama', '$30\xa0million', '$62 million']", sports drama,$30 million,$62 million
2004,10,8.0,Raise Your Voice,/wiki/Raise_Your_Voice,"[' teen musical drama', '$15 million', '$14.8 million']", teen musical drama,$15 million,$14.8 million
2004,10,15.0,Being Julia,/wiki/Being_Julia,"['comedy-drama', 'US$18 million', 'US$14.3 million[2]']",comedy-drama,US$18 million,US$14.3 million[2]
2004,10,15.0,Shall We Dance?,/wiki/Shall_We_Dance%3F_(2004_film),"[' romantic comedy-drama', '$50 million', '$170.1 million']", romantic comedy-drama,$50 million,$170.1 million
2004,10,15.0,Team America: World Police,/wiki/Team_America:_World_Police,"['puppetry comedy', '$32 million[4]', '$51 million[4]']",puppetry comedy,$32 million[4],$51 million[4]
2004,10,22.0,The Grudge,/wiki/The_Grudge,"[' horror film Ju-On: The Grudge, it is the first installment in The Grudge', '$10 million[2]', '$187.3 million[2]']"," horror film Ju-On: The Grudge, it is the first installment in The Grudge",$10 million[2],$187.3 million[2]
2004,10,22.0,Sideways,/wiki/Sideways,"[' comedy-drama road', '$16 million[1]', '$109.7 million[1]']", comedy-drama road,$16 million[1],$109.7 million[1]
2004,10,22.0,Vera Drake,/wiki/Vera_Drake,"[' period drama', '$11 million', '$13.3 million[2]']", period drama,$11 million,$13.3 million[2]
2004,10,29.0,Birth,/wiki/Birth_(2004_film),"[' psychological drama', '$20 million', '$23.9 million']", psychological drama,$20 million,$23.9 million
2004,10,29.0,Ray,/wiki/Ray_(film),"[' biographical musical drama', '$40 million[1]', '$124 million[1]']", biographical musical drama,$40 million[1],$124 million[1]
2004,10,29.0,Saw,/wiki/Saw_(2004_film),"[' horror', '$1 million–$1.2 million', '$103.9 million[2]']", horror,$1 million–$1.2 million,$103.9 million[2]
2004,11,5.0,Alfie,/wiki/Alfie_(2004_film),"[' romantic comedy-drama', '$60 million[2]', '$35.2 million[2]']", romantic comedy-drama,$60 million[2],$35.2 million[2]
2004,11,5.0,The Incredibles,/wiki/The_Incredibles,"[' animated superhero', '$92–145\xa0million[3][4]', '$631.6\xa0million[3]']", animated superhero,$92–145 million[3][4],$631.6 million[3]
2004,11,10.0,The Polar Express,/wiki/The_Polar_Express_(film),"[' animated adventure fantasy', '$165–170 million[4][5]', '$314.2 million[6]']", animated adventure fantasy,$165–170 million[4][5],$314.2 million[6]
2004,11,12.0,After the Sunset,/wiki/After_the_Sunset,"[' heist action comedy', '$57-60 million[1][2]', '$62.7 million[1]']", heist action comedy,$57-60 million[1][2],$62.7 million[1]
2004,11,12.0,Finding Neverland,/wiki/Finding_Neverland_(film),"['biographical fantasy', '$25 million', '$116.8 million[2]']",biographical fantasy,$25 million,$116.8 million[2]
2004,11,12.0,Kinsey,/wiki/Kinsey_(film),"[' biographical drama', '$11 million[2]', '$16.9 million[2]']", biographical drama,$11 million[2],$16.9 million[2]
2004,11,19.0,Bridget Jones: The Edge of Reason,/wiki/Bridget_Jones:_The_Edge_of_Reason_(film),"['romantic comedy', '$40-50 million[4][5]', '$265.1 million[4]']",romantic comedy,$40-50 million[4][5],$265.1 million[4]
2004,11,19.0,National Treasure,/wiki/National_Treasure_(film),"[' action-adventure heist', '$100 million[1]', '$347.5 million[1]']", action-adventure heist,$100 million[1],$347.5 million[1]
2004,11,19.0,The SpongeBob SquarePants Movie,/wiki/The_SpongeBob_SquarePants_Movie,"[' live-action/animated adventure comedy', '$30 million[2]', '$141.1 million[2]']", live-action/animated adventure comedy,$30 million[2],$141.1 million[2]
2004,11,24.0,Alexander,/wiki/Alexander_(2004_film),"['epic historical drama', '$155 million[3]', '$167.3 million[3]']",epic historical drama,$155 million[3],$167.3 million[3]
2004,11,24.0,Christmas with the Kranks,/wiki/Christmas_with_the_Kranks,"[' Christmas comedy', '$60 million[2]', '$96.6 million[2]']", Christmas comedy,$60 million[2],$96.6 million[2]
2004,12,3.0,Closer,/wiki/Closer_(2004_film),"[' romantic drama', '$27 million[1]', '$115.5 million']", romantic drama,$27 million[1],$115.5 million
2004,12,3.0,House of Flying Daggers,/wiki/House_of_Flying_Daggers,"['wuxia romance', '$12 million', '$92.9 million']",wuxia romance,$12 million,$92.9 million
2004,12,8.0,Blade: Trinity,/wiki/Blade:_Trinity,"[' superhero', '$65 million[1]', '$132 million[1]']", superhero,$65 million[1],$132 million[1]
2004,12,10.0,Ocean's Twelve,/wiki/Ocean%27s_Twelve,"[' heist comedy', '$110 million[1]', '$362.9 million[1]']", heist comedy,$110 million[1],$362.9 million[1]
2004,12,15.0,Million Dollar Baby,/wiki/Million_Dollar_Baby,"[' sports drama', '$30 million[1][2]', '$216.8 million[3]']", sports drama,$30 million[1][2],$216.8 million[3]
2004,12,17.0,Beyond the Sea,/wiki/Beyond_the_Sea_(2004_film),"[' biographical musical drama', '$25 million', '$8.4 million']", biographical musical drama,$25 million,$8.4 million
2004,12,17.0,Flight of the Phoenix,/wiki/Flight_of_the_Phoenix_(2004_film),"[' survival drama', '$45-75 million[1][2]', '$34.5 million[1]']", survival drama,$45-75 million[1][2],$34.5 million[1]
2004,12,17.0,Lemony Snicket's A Series of Unfortunate Events,/wiki/Lemony_Snicket%27s_A_Series_of_Unfortunate_Events,"[' black comedy adventure', '$140–142 million[1][2]', '$211.5 million[1]']", black comedy adventure,$140–142 million[1][2],$211.5 million[1]
2004,12,17.0,Spanglish,/wiki/Spanglish_(film),"[' romantic comedy-drama', '$80 million[2]', '$55 million[2]']", romantic comedy-drama,$80 million[2],$55 million[2]
2004,12,22.0,Hotel Rwanda,/wiki/Hotel_Rwanda,"['docudrama', '$17.5 million[2]', '$33.9 million[4]']",docudrama,$17.5 million[2],$33.9 million[4]
2004,12,22.0,Meet the Fockers,/wiki/Meet_the_Fockers,"[' romantic comedy', '$80 million', '$522.7 million[1]']", romantic comedy,$80 million,$522.7 million[1]
2004,12,25.0,The Aviator,/wiki/The_Aviator_(2004_film),"[' epic biographical drama', '$110 million', '$213.7 million[4]']", epic biographical drama,$110 million,$213.7 million[4]
2004,12,25.0,Darkness,/wiki/Darkness_(2002_film),"['supernatural horror', '$10.6 million', '$34.4 million']",supernatural horror,$10.6 million,$34.4 million
2004,12,25.0,Fat Albert,/wiki/Fat_Albert_(film),"[' live-action/animated comedy', '$45 million[3]', '$48.6 million[3]']", live-action/animated comedy,$45 million[3],$48.6 million[3]
2004,12,25.0,The Life Aquatic with Steve Zissou,/wiki/The_Life_Aquatic_with_Steve_Zissou,"[' adventure comedy-drama', '$50 million', '$34.8 million']", adventure comedy-drama,$50 million,$34.8 million
2004,12,29.0,The Assassination of Richard Nixon,/wiki/The_Assassination_of_Richard_Nixon,"[' drama', '$4.6 million[1]', '$4.4 million[2]']", drama,$4.6 million[1],$4.4 million[2]
2004,12,29.0,In Good Company,/wiki/In_Good_Company_(2004_film),"[' romantic comedy-drama', '$26 million[2]', '$61.3 million[3]']", romantic comedy-drama,$26 million[2],$61.3 million[3]
2005,1,7.0,White Noise,/wiki/White_Noise_(2005_film),"['supernatural horror thriller', '$10 million[3]', '$91.2 million[2]']",supernatural horror thriller,$10 million[3],$91.2 million[2]
2005,1,14.0,Coach Carter,/wiki/Coach_Carter,"[' biographical teen sports drama', '$30 million[1]', '$76.7 million[1]']", biographical teen sports drama,$30 million[1],$76.7 million[1]
2005,1,14.0,Elektra,/wiki/Elektra_(2005_film),"['superhero', '$43–65 million[2][3]', '$57 million[2]']",superhero,$43–65 million[2][3],$57 million[2]
2005,1,14.0,Racing Stripes,/wiki/Racing_Stripes,"[' sports comedy family', '$30 million', '$90.8 million']", sports comedy family,$30 million,$90.8 million
2005,1,19.0,Assault on Precinct 13,/wiki/Assault_on_Precinct_13_(2005_film),"['action thriller', '$30 million[1]', '$35.3 million[1]']",action thriller,$30 million[1],$35.3 million[1]
2005,1,21.0,Are We There Yet?,/wiki/Are_We_There_Yet%3F_(film),"[' family road comedy', '$32 million', '$97.9 million']", family road comedy,$32 million,$97.9 million
2005,1,21.0,The Phantom of the Opera,/wiki/The_Phantom_of_the_Opera_(2004_film),"['musical romantic drama', '$70–80 million[1][3]', '$154.6\xa0million[1]']",musical romantic drama,$70–80 million[1][3],$154.6 million[1]
2005,1,28.0,Alone in the Dark,/wiki/Alone_in_the_Dark_(2005_film),"['action horror', '$20 million[2]', '$12.7 million[2]']",action horror,$20 million[2],$12.7 million[2]
2005,1,28.0,Hide and Seek,/wiki/Hide_and_Seek_(2005_film),"[' psychological thriller', '$25 million[1]', '$127.4 million[2]']", psychological thriller,$25 million[1],$127.4 million[2]
2005,2,4.0,Boogeyman,/wiki/Boogeyman_(film),"['supernatural horror', '$20 million[5]', '$67.2 million[5]']",supernatural horror,$20 million[5],$67.2 million[5]
2005,2,4.0,The Wedding Date,/wiki/The_Wedding_Date,"[' romantic comedy', '$15 million[1]', '$47.2 million[1]']", romantic comedy,$15 million[1],$47.2 million[1]
2005,2,11.0,Hitch,/wiki/Hitch_(film),"[' romantic comedy', '$55-70 million[1][2]', '$371.6 million[2]']", romantic comedy,$55-70 million[1][2],$371.6 million[2]
2005,2,11.0,Pooh's Heffalump Movie,/wiki/Pooh%27s_Heffalump_Movie,"[' animated musical adventure comedy-drama', '$20\xa0million', '$52.9\xa0million[3]']", animated musical adventure comedy-drama,$20 million,$52.9 million[3]
2005,2,18.0,Because of Winn-Dixie,/wiki/Because_of_Winn-Dixie_(film),"[' family comedy-drama', '$14 million[1]', '$33.5 million[2]']", family comedy-drama,$14 million[1],$33.5 million[2]
2005,2,18.0,Constantine,/wiki/Constantine_(film),"[' superhero horror', '$70–100 million[6][7][8]', '$230.9 million[8]']", superhero horror,$70–100 million[6][7][8],$230.9 million[8]
2005,2,18.0,Son of the Mask,/wiki/Son_of_the_Mask,"['comedy', '$84–100 million[2][4]', '$59.9 million[4]']",comedy,$84–100 million[2][4],$59.9 million[4]
2005,2,25.0,Cursed,/wiki/Cursed_(2005_film),"[' horror comedy film directed by Wes Craven and written by Kevin Williamson, who both collaborated on the Scream', '$75+ million (also estimated at close to $90-100 million)[3][4]', '$25.1-29.6 million[5][6]']"," horror comedy film directed by Wes Craven and written by Kevin Williamson, who both collaborated on the Scream",$75+ million (also estimated at close to $90-100 million)[3][4],$25.1-29.6 million[5][6]
2005,2,25.0,Man of the House,/wiki/Man_of_the_House_(2005_film),"[' crime comedy', '$40 million', '$21.6 million[1]']", crime comedy,$40 million,$21.6 million[1]
2005,3,4.0,Be Cool,/wiki/Be_Cool,"[' crime comedy', '$53–75 million[2][3]', '$95.8 million[2]']", crime comedy,$53–75 million[2][3],$95.8 million[2]
2005,3,4.0,The Jacket,/wiki/The_Jacket,"[' science-fiction psychological thriller', '$28.5 million[2]', '$21.1 million[3]']", science-fiction psychological thriller,$28.5 million[2],$21.1 million[3]
2005,3,4.0,The Pacifier,/wiki/The_Pacifier,"[' family action comedy', '$56 million[2][3]', '$198.6 million[2]']", family action comedy,$56 million[2][3],$198.6 million[2]
2005,3,11.0,Hostage,/wiki/Hostage_(2005_film),"[' action thriller', '$75 million[1]', '$77.7 million[2]']", action thriller,$75 million[1],$77.7 million[2]
2005,3,11.0,Robots,/wiki/Robots_(2005_film),"[' animated science fiction adventure comedy', '$75–80 million[2][3]', '$262.5 million[2]']", animated science fiction adventure comedy,$75–80 million[2][3],$262.5 million[2]
2005,3,18.0,Ice Princess,/wiki/Ice_Princess,"[' teen sports comedy-drama', '$25 million[1]', '$27.6 million[1]']", teen sports comedy-drama,$25 million[1],$27.6 million[1]
2005,3,18.0,The Ring Two,/wiki/The_Ring_Two,"[' psychological supernatural horror', '$50 million[1]', '$164 million[2]']", psychological supernatural horror,$50 million[1],$164 million[2]
2005,3,24.0,Miss Congeniality 2: Armed and Fabulous,/wiki/Miss_Congeniality_2:_Armed_and_Fabulous,"[' female buddy action comedy', '$45 million[1]', '$101.3 million[2]']", female buddy action comedy,$45 million[1],$101.3 million[2]
2005,3,25.0,Guess Who,/wiki/Guess_Who_(film),"[' comedy', '$35 million', '$103.1 million']", comedy,$35 million,$103.1 million
2005,3,25.0,The Ballad of Jack and Rose,/wiki/The_Ballad_of_Jack_and_Rose,"['drama', '$1.5 million', '$1,126,258[2]']",drama,$1.5 million,"$1,126,258[2]"
2005,3,30.0,Beauty Shop,/wiki/Beauty_Shop,"[' comedy', '$25 million[2]', '$37.2 million[3]']", comedy,$25 million[2],$37.2 million[3]
2005,4,1.0,Sin City,/wiki/Sin_City_(film),"[' neo-noir crime anthology', '$40 million[2]', '$158.7 million[2]']", neo-noir crime anthology,$40 million[2],$158.7 million[2]
2005,4,1.0,The Upside of Anger,/wiki/The_Upside_of_Anger,"[' romantic comedy-drama', '$12 million[1]', '$28.2 million[1]']", romantic comedy-drama,$12 million[1],$28.2 million[1]
2005,4,8.0,Fever Pitch,/wiki/Fever_Pitch_(2005_film),"[' romantic comedy-drama', '$30 million[1]', '$50.5 million[1]']", romantic comedy-drama,$30 million[1],$50.5 million[1]
2005,4,8.0,Sahara,/wiki/Sahara_(2005_film),"[' action-adventure', '$160\xa0million[4]', '$119.2\xa0million[2]']", action-adventure,$160 million[4],$119.2 million[2]
2005,4,13.0,State Property 2,/wiki/State_Property_2,"[' crime', '$2,000,000', '$1,691,706']", crime,"$2,000,000","$1,691,706"
2005,4,15.0,The Amityville Horror,/wiki/The_Amityville_Horror_(2005_film),"[' supernatural horror', '$19 million[2]', '$107.5 million[2]']", supernatural horror,$19 million[2],$107.5 million[2]
2005,4,22.0,The Interpreter,/wiki/The_Interpreter_(2005_film),"['political thriller', '$80 million', '$162.9 million']",political thriller,$80 million,$162.9 million
2005,4,22.0,King's Ransom,/wiki/King%27s_Ransom_(film),"[' black comedy', '$15 million', '$4,143,652[1]']", black comedy,$15 million,"$4,143,652[1]"
2005,4,22.0,A Lot like Love,/wiki/A_Lot_like_Love,"[' romantic comedy-drama', '$30 million[1]', '$42.8 million[1]']", romantic comedy-drama,$30 million[1],$42.8 million[1]
2005,4,29.0,The Hitchhiker's Guide to the Galaxy,/wiki/The_Hitchhiker%27s_Guide_to_the_Galaxy_(film),"['science fiction comedy', '$45–50 million[2][3]', '$104.5 million[2]']",science fiction comedy,$45–50 million[2][3],$104.5 million[2]
2005,4,29.0,XXX: State of the Union,/wiki/XXX:_State_of_the_Union,"[' action spy', '$113 million[2][3]', '$71.1 million[2]']", action spy,$113 million[2][3],$71.1 million[2]
2005,5,6.0,Crash,/wiki/Crash_(2004_film),"[' crime drama', '$6.5 million[1]', '$98.4 million[1]']", crime drama,$6.5 million[1],$98.4 million[1]
2005,5,6.0,House of Wax,/wiki/House_of_Wax_(2005_film),"['slasher', '$40 million[2]', '$70.1 million[3]']",slasher,$40 million[2],$70.1 million[3]
2005,5,6.0,Kingdom of Heaven,/wiki/Kingdom_of_Heaven_(film),"['epic historical drama', '$130\xa0million[4]', '$218.1\xa0million[4]']",epic historical drama,$130 million[4],$218.1 million[4]
2005,5,13.0,Kicking & Screaming,/wiki/Kicking_%26_Screaming_(2005_film),"[' sports comedy', '$45 million[1]', '$56.1 million[1]']", sports comedy,$45 million[1],$56.1 million[1]
